model,dataset,evaluation_type,accuracy,precision,recall,f1_score,roc_auc,positive_class,source,notes
Logistic Regression,filtered original data,stratified hold-out,0.738636,0.44,0.67,0.53,,1,notebook cells 47-54,Precision recall and F1 are for Outcome=1; ROC-AUC was not computed.
SVM,filtered original data,stratified hold-out,0.721591,0.41,0.63,0.49,,1,notebook cells 55-61,Precision recall and F1 are for Outcome=1; ROC-AUC was not computed.
Decision Tree,filtered original data,stratified hold-out,0.698864,0.63,0.54,0.58,,1,notebook cells 62-68,Precision recall and F1 are for Outcome=1; ROC-AUC was not computed.
Random Forest,filtered original data,stratified hold-out,0.750000,0.53,0.66,0.58,,1,notebook cells 69-75,Precision recall and F1 are for Outcome=1; ROC-AUC was not computed.
Random Forest,SMOTE-resampled data,stratified hold-out,0.816239,,,,,1,notebook cells 76-81,Only accuracy was stored for this experiment; class metrics and ROC-AUC were not available.
